Date,Hour,Price
2023-08-19T22:00Z,17,78.98
2023-08-19T22:00Z,18,95.10
2023-08-19T22:00Z,19,112.00
2023-08-19T22:00Z,20,128.80
2023-08-19T22:00Z,21,138.62
2023-08-19T22:00Z,22,139.54
2023-08-19T22:00Z,23,126.71
2023-08-19T22:00Z,24,111.95
2023-08-20T22:00Z,1,111.95
2023-08-20T22:00Z,2,101.67
2023-08-20T22:00Z,3,98.71
2023-08-20T22:00Z,4,94.92
2023-08-20T22:00Z,5,95.49
2023-08-20T22:00Z,6,105.42
2023-08-20T22:00Z,7,129.57
2023-08-20T22:00Z,8,150.02
2023-08-20T22:00Z,9,136.01
2023-08-20T22:00Z,10,115.05
2023-08-20T22:00Z,11,104.02
2023-08-20T22:00Z,12,101.51
2023-08-20T22:00Z,13,101.10
2023-08-20T22:00Z,14,101.10
2023-08-20T22:00Z,15,98.02
2023-08-20T22:00Z,16,96.81
2023-08-20T22:00Z,17,100.66
2023-08-20T22:00Z,18,118.69
2023-08-20T22:00Z,19,139.65
2023-08-20T22:00Z,20,173.23
2023-08-20T22:00Z,21,184.10
2023-08-20T22:00Z,22,160.21
2023-08-20T22:00Z,23,136.01
2023-08-20T22:00Z,24,115.00
